userId|rating|itemId|cityId
1|5|5|3
2|1|13|9
2|5|14|10
2|5|15|10
2|3|16|9
2|5|17|9
2|5|18|8
2|5|23|13
3|3|60|45
4|4|92|70
5|5|95|72
5|5|97|74
6|4|107|81
6|5|108|81
7|3|114|86
7|4|116|86
7|4|117|86
7|4|120|3
7|4|122|3
7|5|129|92
7|4|130|93
7|5|131|86
7|5|132|94
7|1|133|95
7|4|135|95
7|4|136|95
8|1|149|108
8|5|152|111
8|1|154|112
8|1|155|109
8|3|159|116
8|2|160|114
8|4|161|117
8|2|162|118
8|4|163|118
9|5|166|119
9|5|168|121
9|5|170|122
9|4|171|122
9|4|172|122
9|5|173|8
9|5|174|8
9|5|176|123
9|5|177|8
9|4|178|8
9|3|181|8
9|2|182|8
9|5|184|8
9|5|185|8
9|5|186|8
9|2|187|8
9|3|188|8
9|5|189|125
9|1|190|125
10|5|196|128
10|4|197|129
10|1|198|130
10|3|202|134
10|4|204|136
10|5|205|137
10|5|206|129
10|5|208|129
10|5|209|129
10|4|211|138
10|5|215|139
10|4|217|140
10|5|220|143
10|5|224|8
10|4|225|34
10|5|226|129
10|3|227|129
10|5|228|129
10|3|229|129
10|4|232|146
10|3|233|129
10|5|234|129
10|1|235|129
10|1|236|129
10|3|237|129
10|1|238|129
10|5|239|147
10|3|241|149
10|5|242|150
10|2|244|129
10|3|245|151
10|5|248|153
11|5|253|157
11|5|254|157
11|4|256|158
11|5|258|159
11|5|259|159
11|5|261|157
11|3|262|160
11|5|264|161
11|5|265|162
11|5|266|162
11|5|267|162
11|5|271|157
11|5|272|157
11|5|272|157
11|5|274|8
12|5|279|167
12|5|282|167
12|5|283|167
12|4|284|168
12|4|285|168
13|5|290|171
13|4|291|172
13|5|292|173
13|5|293|174
13|2|295|175
13|4|296|175
13|4|297|175
13|4|298|175
13|3|299|172
13|2|301|175
13|4|302|175
13|3|303|175
13|5|304|175
13|1|305|177
13|5|306|175
13|3|307|177
13|5|310|179
13|2|311|135
13|4|312|175
13|4|314|8
13|5|321|182
13|5|322|175
13|5|323|181
13|4|325|183
13|1|327|175
13|2|329|8
13|5|331|171
13|5|333|186
13|5|336|77
13|4|338|175
13|4|344|190
13|5|345|175
13|5|346|175
13|5|350|191
13|4|352|193
14|2|356|8
14|2|357|8
14|4|358|8
14|3|359|8
14|4|360|11
14|1|364|11
14|4|365|8
14|4|367|8
14|4|371|8
14|4|372|8
14|1|374|125
14|4|376|8
14|3|380|8
14|4|382|8
14|1|383|175
14|3|388|8
14|4|392|8
14|3|393|8
14|4|394|8
14|1|395|8
14|1|403|207
14|3|417|217
14|2|432|227
14|5|437|231
14|2|438|9
14|5|336|77
14|2|441|229
14|5|444|234
15|5|446|235
15|2|467|72
15|3|468|72
15|1|481|72
16|3|500|267
16|5|504|267
16|4|506|267
16|3|509|267
16|5|515|264
17|4|525|277
17|5|526|277
17|5|530|281
17|2|531|88
17|5|532|88
19|3|560|297
19|5|567|300
19|2|568|301
19|1|578|307
19|4|596|312
19|4|606|305
19|5|616|305
19|1|617|305
19|2|628|310
19|2|642|327
19|5|660|305
19|2|661|305
20|3|683|342
20|4|685|343
20|5|688|344
20|4|689|344
20|4|694|348
20|4|697|351
21|5|706|193
21|5|708|356
21|5|710|305
21|5|723|193
22|5|725|361
22|2|730|366
23|5|740|371
23|5|741|372
23|4|742|373
23|4|747|377
23|5|740|371
23|4|754|379
23|5|755|378
23|5|760|382
23|5|762|382
23|3|763|372
23|5|768|109
23|5|769|381
23|5|771|380
23|5|773|387
23|5|775|148
23|4|777|388
23|2|778|387
23|4|779|389
23|5|784|148
23|5|740|371
23|5|785|371
23|5|740|371
23|5|787|394
23|5|789|395
23|4|791|397
23|3|793|398
23|5|794|399
23|4|796|401
23|5|797|402
23|4|798|378
23|5|800|378
23|5|804|354
23|5|806|354
23|5|808|401
23|5|811|254
23|5|812|254
23|4|813|404
23|4|815|405
